time,event,type,missing_in,classification,reason,rule_id
2026-04-22T00:47:44,KeyPressed on : Menu: VCV button is pressed,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:47:44,Menu Opened: Vent,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:47:45, PCV button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:47:46,QuickKey: Pinsp setting changed from 19 to 20,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not export UI alarm or limit configuration,EXP_HL7_001
2026-04-22T00:47:52,Start Case button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:47:52,Menu Opened: End Case,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:47:53,End Case Now button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T00:47:54,Therapy state exited.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T00:47:54,Standby state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T01:03:49,Standby state exited.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T01:03:49,Checkout state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T01:03:49,Menu Opened: Checkout,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T01:03:54,Cancel button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T01:04:15,Start Case button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T01:04:16,Bypass button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T01:04:16,Start Case state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T01:04:16,Menu Opened: Start Case,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T01:04:17,Start Anesthesia button is pressed.,USER_ACTION,"SBX,DOCOM,HL7",EXPECTED_MISSING,HL7 does not reflect UI navigation events,EXP_HL7_002
2026-04-22T01:04:18,Start Case state exited.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
2026-04-22T01:04:18,Therapy state entered.,STATE_TRANSITION,"SBX,DOCOM,HL7",REVIEW_REQUIRED,No matching classification rule,REVIEW_001
